ProgramName,NCES
A Safe Haven,SafeHaven
Americorps NCCC and FEMA,AmerNCCC
Americorps VISTA,AmerVista
Aon Apprenticeship,AonApp
Boys and Girls Club of Chicago,BGClub
C4ITA,C4ITA
Catalyte,Catalyte
CHI CAT,CHICAT
City Year,CityYear
Creating IT Futures,CreatingIT
Dudley Beauty College,Dudley
Firefighter Academy,Firefighter
Governor's State University-School of Extended Learning,145336
HACIA,HACIA
Harper College Apprenticeships,HarperApp
Hire360,Hire360
i.c. stars,ICStars
IBEW Electrical Apprenticeship,IBEW
IBM Apprenticeship,IBMApp
Impact Culinary,Impact
Instituto del Progreso Latino,Instituto
Jane Adams Resource Corporation (JARC),JARC
Local 1 - Ironworkers Union,Ironworker
Local 130 - Plumbers Union,Plumber
Local 150 - Operating Union,Operating
Local 54 - Carpenters Union,Carpenter
Marriott Bridges,Marriott
Military Reserves,999907
Military Reserves,Reserves
Ms. Robert's Beauty Academy,RobertBeauty
North Lawndale Employment Network,Nlawndale
PODER,PODER
Police Cadet Academy,PoliceCadet
Public Allies,PublicAllies
Re:work Training,ReWork
Relativity Fellows,Relativity
Revolution Workshop,Revolution
ROTC,ROTC
Silver Fork,SilverFork
Skills for Chicagoland's Future: Pivot to Success,Skills
The Greater West Town Community Development Project,WestTown
United States Air Force,999901
United States Army,999902
United States Marine Corps,999903
United States National Guard,999906
United States Navy,999904
Year Up,YearUp
Other not listed (enter to right),TBD
